project_name,_id,name,subject_id,golden_mouse,genotype,date_of_birth,sex,modality,session_date,age,session_time,column,volume
V1 Deep Dive,3b85c659-20c8-438f-ab58-de1aac3b81cf,416296_2018-11-29_12-08-40_nwb_2025-08-08_16-27-42,416296,False,Camk2a-tTA/wt;tetO-GCaMP6s/wt,2018-08-06,Female,"['Planar optical physiology', 'Behavior videos']",2018-11-29,115,12:08:40.014190,2,5
V1 Deep Dive,b98ce4a9-a66b-4b70-baa6-95ef451ae087,427836_2019-04-25_12-16-58_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-25,199,12:16:58.240890,5,3
V1 Deep Dive,5cccd09c-4ae8-4d8e-ae92-23099d22bbe2,427836_2019-04-24_13-06-45_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-24,198,13:06:45.257460,4,3
V1 Deep Dive,911d215f-dafa-4b39-86f7-b36336974da1,427836_2019-04-25_13-49-39_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-25,199,13:49:39.163550,5,4
V1 Deep Dive,c918f874-d534-4341-b0dc-f1aba388af66,427836_2019-04-26_12-54-40_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-26,200,12:54:40.332660,2,4
V1 Deep Dive,c037259d-b3dd-4b6b-95b5-089555714c02,427836_2019-04-29_15-02-53_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-29,203,15:02:53.992910,4,5
V1 Deep Dive,10200108-768c-432d-91ab-856188ac868b,427836_2019-04-26_14-23-32_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-26,200,14:23:32.162710,2,5
V1 Deep Dive,fbcff5e5-1863-4640-85c0-f6d272f974fa,438833_2019-03-12_15-10-30_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-12,101,15:10:30.850270,1,2
V1 Deep Dive,69b14677-3b46-47f2-b39c-2eeab0ab17c3,427836_2019-04-29_13-36-17_nwb_2025-08-08_16-27-18,427836,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-10-08,Female,"['Planar optical physiology', 'Behavior videos']",2019-04-29,203,13:36:17.106870,4,4
V1 Deep Dive,c1ac2e97-d88a-4a3d-9fc7-d7e069e7835d,438833_2019-03-14_14-18-27_nwb_2025-08-08_16-28-11,438833,False,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,2018-12-01,Male,"['Planar optical physiology', 'Behavior videos']",2019-03-14,103,14:18:27.144330,1,5
